Uniqucode	07TWYA1	07TWYA2	07TWYA3	07TWYC1	07TWYC2	07TWYC3	07TWYE1	07TWYE2	07TWYE3	07BLNA1	07BLNA2	07BLNA3	07BLNB1	07BLNB2	07BLNB3	07BLNC1	07BLNC2	07BLNC3	07BLND1	07BLND2	07BLND3	07BLNE1	07BLNE2	07BLNE3	07BLSB1	07BLSB2	07BLSB3	07BLSC1	07BLSC2	07BLSC3	07BLSD1	07BLSD2	07BLSD3	07BLSE1	07BLSE2	07BLSE3	07KNEB1	07KNEB2	07KNEB3	07KNEC1	07KNEC2	07KNEC3	07KNED1	07KNED2	07KNED3	07KNEE1	07KNEE2	07KNEE3	07MAWA1	07MAWA2	07MAWA3	07MAWB1	07MAWB2	07MAWB3	07MAWC1	07MAWC2	07MAWC3	07MAWE1	07MAWE2	07MAWE3	07CLCB1	07CLCB2	07CLCB3	07CLCD1	07CLCD2	07CLCD3	07CLCE1	07CLCE2	07CLCE3	07CTBA1	07CTBA2	07CTBA3	07CTBB1	07CTBB2	07CTBB3	07CTBC1	07CTBC2	07CTBC3	07CTBD1	07CTBD2	07CTBD3	07CTBE1	07CTBE2	07CTBE3	13TWYA1	13TWYA2	13TWYA3	13TWYC1	13TWYC2	13TWYC3	13TWYE1	13TWYE2	13TWYE3	13BLNA1	13BLNA2	13BLNA3	13BLNB1	13BLNB2	13BLNB3	13BLNC1	13BLNC2	13BLNC3	13BLND1	13BLND2	13BLND3	13BLNE1	13BLNE2	13BLNE3	13BLSB1	13BLSB2	13BLSB3	13BLSC1	13BLSC2	13BLSC3	13BLSD1	13BLSD2	13BLSD3	13BLSE1	13BLSE2	13BLSE3	13KNEB1	13KNEB2	13KNEB3	13KNEC1	13KNEC2	13KNEC3	13KNED1	13KNED2	13KNED3	13KNEE1	13KNEE2	13KNEE3	13MAWA1	13MAWA2	13MAWA3	13MAWB1	13MAWB2	13MAWB3	13MAWC1	13MAWC2	13MAWC3	13MAWE1	13MAWE2	13MAWE3	13CLCB1	13CLCB2	13CLCB3	13CLCD1	13CLCD2	13CLCD3	13CLCE1	13CLCE2	13CLCE3	13CTBA1	13CTBA2	13CTBA3	13CTBB1	13CTBB2	13CTBB3	13CTBC1	13CTBC2	13CTBC3	13CTBD1	13CTBD2	13CTBD3	13CTBE1	13CTBE2	13CTBE3	20TWYA1	20TWYA2	20TWYA3	20TWYC1	20TWYC2	20TWYC3	20TWYE1	20TWYE2	20TWYE3	20BLNA1	20BLNA2	20BLNA3	20BLNB1	20BLNB2	20BLNB3	20BLNC1	20BLNC2	20BLNC3	20BLND1	20BLND2	20BLND3	20BLNE1	20BLNE2	20BLNE3	20BLSB1	20BLSB2	20BLSB3	20BLSC1	20BLSC2	20BLSC3	20BLSD1	20BLSD2	20BLSD3	20BLSE1	20BLSE2	20BLSE3	20KNEB1	20KNEB2	20KNEB3	20KNEC1	20KNEC2	20KNEC3	20KNED1	20KNED2	20KNED3	20KNEE1	20KNEE2	20KNEE3	20MAWA1	20MAWA2	20MAWA3	20MAWB1	20MAWB2	20MAWB3	20MAWC1	20MAWC2	20MAWC3	20MAWE1	20MAWE2	20MAWE3	20CLCB1	20CLCB2	20CLCB3	20CLCD1	20CLCD2	20CLCD3	20CLCE1	20CLCE2	20CLCE3	20CTBA1	20CTBA2	20CTBA3	20CTBB1	20CTBB2	20CTBB3	20CTBC1	20CTBC2	20CTBC3	20CTBD1	20CTBD2	20CTBD3	20CTBE1	20CTBE2	20CTBE3
Carex canescens																																																																																																																																3.00																																																																																																																												
Carex cephalotes				3.00		4.00										2.00												55.00		3.00			1.00							8.00	17.00	5.00		1.00											0.50	1.00	0.50																												6.00		6.00	5.00												6.50	10.00			0.50	7.50				0.30			4.00	11.00	3.00							6.00			5.00	14.00	3.00								1.00		2.00	0.50	6.00	0.50	1.00	1.00									2.00							1.00																									0.50	1.00		8.00	3.50		6.50	4.50	3.50			3.00		0.50		7.50	5.00								4.50		7.50	3.75	14.75																3.00						1.00																				
Carex hypandra				2.00													2.00		0.01	1.00		0.05	0.05																					0.25																																		3.00									4.00	12.50	42.00	24.50											20.00					1.50	7.00																															1.00																1.00				0.50	0.50		3.00	9.00			9.00	0.50						36.50	23.50	11.25			4.50								14.50	33.50	12.50	3.50		15.00	18.50		1.00																2.00	1.00																																		4.50	7.50	6.50	28.50	12.25	2.25			
Celmisia costiniana							67.00	49.00	65.00																																																									0.10																									47.00	47.00	42.00					0.30																															0.20																																														52.50	45.50	16.50					1.00																																		1.50																																				
Colobanthus nivicola																																								0.10	1.00	0.25																								0.20																																																0.10							11.00	0.10	3.00	0.50	0.20	0.10																								0.02																																																							4.25	5.00	2.00	0.50		0.25																												0.10														
Cotula alpina																																								0.01					0.20																																																																																																																																																																																																															
Craspedia lamicola				1.00	1.00	0.25	1.00																																																																																0.50	1.50	6.50	5.50	1.00	0.50								0.30																																																																								2.75		6.50		0.50																																						0.50																																						2.50
Craspedia maxgrayi																																																																																																																	0.10																																																																																																																																											
Epilobium tasmanicum																8.00	0.01												0.25	0.25										0.50																								0.05		1.50																			5.00									0.05	0.01	0.30	0.20		0.20	4.00	1.00								0.50	3.00	11.00		1.00	0.01							3.00	3.00	1.50	0.20			0.20						0.50			2.00			0.10						0.50	2.50	10.70	0.50		0.30						0.10	5.00	0.50	4.00	0.01																		0.10		0.50	2.00		2.50										0.50	0.50				0.25	0.10						2.25	1.25	1.50	1.00	0.10	0.10		0.25			0.10		1.50	0.25	0.10	1.25		0.10	0.10		0.75							0.10	0.25	0.25				0.10	0.10				3.50									
Epilobium gunnianum																																																																																																																																																							0.50																								0.25																																																																													
Erigeron bellidioides																																																																		0.02																																																																																																																																																																																										
Erigeron nitidus																																																															2.00																																																																																																																																																																																													
Erigeron setosus																																								0.01			0.50																																																																				0.20										0.10	1.00																												0.05																																													0.25																																																									
Euchiton argentifolius																0.01																								1.00				1.50																					0.05																				0.05												0.10														0.20	0.50		0.20										0.10																									1.50																																													0.25	1.25	0.10																																					0.25	0.25																		
Euchiton fordianus			2.00																																																																																																																																																																						1.75										0.10				0.50														0.10	0.50													0.10	0.50																					0.25	1.00		0.25						0.10										
Euphrasia collina subsp. diversicolor							1.00	2.00	1.00																							0.50	1.00												1.00	1.00																				0.01																									0.50	6.00	0.60																		1.00		1.00	3.00															0.50		0.50																	0.70		0.20																									2.75	0.50	5.25													1.00						1.00		1.50	0.50	2.50	0.25														2.50																																					
Ewartia nubigena	0.10									0.10					1.00														1.00																																					0.01																																															2.00																																																																				0.50																																																																							
Gonocarpus montanus									0.25																																																																																																																																																																																																																																																			
Helichrysum scorpioides								17.00	15.00																																																																																			20.00	21.00																																																																																		9.75		17.25																																																																											
Leptorhynchos squamatus																																													0.50																																																																																																																																																																																																															
Luzula acutifolia 						6.00														4.00	2.00							8.00	20.00	11.00	1.00	17.00								33.00	42.00	38.00	1.00	4.00	65.00												2.00							9.00		0.10																																		1.00	1.50		0.20	0.10					9.00	0.20		1.00	1.00	0.05							19.00	0.20	0.30	4.50	10.00	23.00	0.40	0.30	1.00						1.00			12.00			2.00						11.50	1.50							0.20				0.50																			0.25	0.10			1.00	2.00		1.50		2.50	0.25						0.25	0.50	1.00	1.50				2.50					12.00			7.25	28.25	0.50					2.50							0.25									2.00	0.50					1.00	1.75	1.25												
Luzula australasica subsp. dura										0.50	2.00	1.00													0.10	1.00											1.00	17.00															1.00																				1.00	1.00	3.00			2.00																1.50	1.50		6.00												8.00	0.10																																			0.70																																	1.50	2.00		2.00												7.50	0.25	1.00		0.25																																									0.50														
Luzula alpestris																																																																																																																																																																	0.50																																																																																				0.25							
Luzula modesta					9.00	7.00																																																																																																																																																							0.50	1.00	4.00													0.50																																																																						2.25	3.25									
Lycopodium fastigiatum					2.00			1.00																																	6.00	2.00	1.00	2.00																																								38.00							5.50	0.50																											6.00								0.30																0.50																									10.00																												3.50					5.50	1.50									3.75	2.50			6.50																			5.00		4.00	3.00														0.50	
Microseris lanceolata 																																																																																																																																	0.70																																																																																																									0.50																		
Neopaxia australasica	25.00	17.00	28.00	10.00	29.00	50.00				0.50		1.00	2.00	3.00	5.00	33.00	85.00	95.00			4.00				13.00	3.00	19.00		0.25								8.00	4.00	11.00						4.00			1.00	4.00	1.00	3.00	29.00	31.00	29.00	59.00	44.00	47.00				13.00	14.00	17.00							0.10	0.10	1.00	1.00	24.00		15.00	15.00	25.00	4.00	5.00	3.00				51.00	14.00	35.00			0.20							2.00	3.00	0.20	7.50	13.00	15.00								1.00	12.00		0.25								4.00	14.00	1.00	0.20	0.01	3.50								9.00	24.00	14.00	9.00		19.00	17.00	20.00													0.50			5.00	0.50		2.00	12.00	7.00	11.00	5.00	12.00				5.50	1.00			0.50	5.50							3.00	6.00		17.50								0.25		0.25	5.50				4.50					0.50	2.50		2.00		1.50	10.00	3.00		2.50		0.10	9.75		12.50	12.75		5.75	1.00	3.00	0.50	6.50							0.75									10.25	2.75	5.75	5.00	2.00	1.75	10.00	1.00	2.25			
Oreomyrrhis eriopoda									1.00																															0.50	0.50	1.50		0.25			0.50																																														0.50																																0.20	0.20		0.50																																															7.50																																	1.00		0.10					1.00	0.50																																				
Oreomyrrhis pulvinifica				17.00																																																																																				13.00																1.00																		0.10		2.00		0.10																																														13.50														1.00				2.50	1.00																1.10			0.25																0.50																										
Plantago glacialis																			3.00	2.00									3.00		6.00	0.05																																																15.00																							0.50										4.00			0.01																																																5.00																							4.50	3.00		2.50	0.10							1.00			0.75																																											0.25								
Poa costiniana									4.00	5.00	0.50		10.00	7.00	3.00	2.00	5.00	8.00	85.00	92.00	95.00	95.00	85.00		2.00	2.00	1.50		5.00	1.50	30.00	76.00	79.00	100.00	100.00	100.00	2.00		2.00				39.00	44.00	14.00	39.00	55.00	52.00	0.10	0.60		5.00	2.00	4.00				85.00		85.00	2.00	0.50	3.00	34.00	63.00	39.00	93.00	85.00	64.00				1.00	1.00	4.00	28.00	26.00				69.00	34.00	20.00	23.00							4.00	8.00	7.00			0.30	5.00	32.00	48.00		30.00	66.00	97.50	99.00	92.00	100.00	56.00	100.00			2.00	66.00	22.00	11.00	97.00	97.00	99.00	90.00	100.00	100.00	11.00	17.00	3.00		19.00	25.00	87.00	83.00	81.50	84.00	89.50	94.00				25.00	9.00	11.00			55.00	84.00		89.00	14.50	8.50	13.00	61.00	72.00	48.00	98.00	100.00	99.00				16.00	3.00	0.50	83.00	65.00	94.00			54.00	100.00	100.00	98.00	2.50	1.00					9.50	26.50	58.00	3.50	11.50	5.25		34.00	38.50	76.00	24.00	23.50	93.50	89.50	90.00	84.00	74.00	93.00			7.50	67.50	47.50	47.00	96.00	94.50	89.50	90.25	97.00	100.00	25.50	15.50	17.75		28.50	23.50	73.50	84.50	88.00	83.00	92.50	89.00				25.75	32.50	33.75			56.25	87.00		91.00	11.75	18.00	9.00	65.00	67.00	78.00	97.00	93.00	96.00		1.50	1.75	39.00	32.75	12.50	84.00	86.00	82.00	69.50		89.25	93.00	99.00	96.00
Poa fawcettiae					19.00	8.00																																2.00					12.00												4.00	4.00		18.00	72.00	25.00				8.00	12.00		5.00	8.00	28.00										98.00	70.00					5.00		5.00	6.00	46.00	68.00																																		22.00									15.00	6.00	6.00		4.00		37.00	27.00		8.00	82.00	11.00				4.00	16.00					0.50									94.00	78.00								17.75	84.50	73.50																																		29.50									17.25	17.00	14.25		8.00		52.50	87.75		6.00	86.00	8.50				6.00	17.00					4.50										91.75				
Poa hiemata	1.00	1.00	2.00							1.00	1.00	0.10	7.00	14.00	5.00						0.50										1.00	4.00					3.00	1.00															2.00	0.50					15.00		0.50										1.00																																						4.00	1.00		3.00																													0.50		5.00																																																		12.50	2.50																																	7.00																									
Prasophyllum alpestre																																																																																												0.25																																																																																			0.10																																																																													
Ranunculus dissectifolius																				1.50																																																																																																																																																																										0.25																																																														
Ranunculus acrophilus																											0.10			0.50																																																																																																																																																																																																																														
Ranunculus anemoneus																																					0.10			0.25	0.25			0.25																																																																																1.00	1.00	0.20		3.00																																																																														0.75	1.25	0.25	0.25			0.25		0.50	0.25																										0.50											
Ranunculus niphophilus				10.00	6.00	9.00																																																																										1.00					1.00	0.70		10.50	2.00	2.50																						0.02																																																												3.50					1.00																																																																											
Rytidosperma nudiflorum							18.00	20.00	4.00						2.00		4.00	1.00																						17.00	4.00	7.00	29.00	28.00	8.00	27.00	50.00	60.00							3.00	4.00	6.00		1.00	9.00				16.00		2.00	1.00	11.00	13.00							27.00	10.00	42.00		13.00	9.00	60.00	81.00	62.00							24.00	11.00	12.00																																														4.00	6.00										2.00																									29.50	28.25	21.50																																																																											
Senecio gunnii																																																																																																																												0.50																																																																																																																																
Senecio pinnatifolius								0.25	1.00	0.10		0.10													0.50	0.50	2.00																																		1.00	0.50	0.50		1.00																													0.30		0.40													5.00	4.00	8.00		0.01	0.10																															2.50		5.00	2.00	0.50	0.30									2.00																			0.50			3.50												1.00			1.50		0.25										2.00																					0.25				4.50										11.25									
Stackhousia pulvinaris							5.00	1.00																																																																																			10.00	1.50																																																																																1.50				4.75																																																																												
Trisetum spicatum									2.00																																																																									0.20													0.30									1.00	2.00																																																																						0.75																																	2.50																																												
Viola bentonicifolia																																																																																													0.10																																																																									0.50																																																																																				0.10		
Wahlenbergia ceracea																																																																																																																																	0.10																																																																																																																											
Moss				4.00	12.00	8.00				0.50	0.50	0.50	45.00	58.00	54.00	30.00	2.00		20.00	5.00		5.00	3.00		0.50		1.00	28.00	31.00	34.00	26.00	3.00	26.00		0.50		18.00	16.00	3.00	1.00			3.00		1.00	4.00	5.00	4.00			0.10	9.00	5.00	28.00	12.00	28.00	19.00	0.10	3.00	1.00	0.10	1.00	1.00	2.00	5.00	20.00					4.00	11.00	17.00	3.00	13.00	16.00	37.00	17.00			3.00				2.00	1.00	4.50	3.00						0.20	0.70		19.00	56.00	13.00	50.00	40.00		2.00				3.50		3.00	2.00	3.00	21.00	20.00	43.00				2.00			7.00	0.20	3.00	17.00	40.00	5.00					2.00			23.00	4.00	18.00	14.00	26.00	21.00	45.00	20.00	2.00	12.00	5.00				1.00	5.50	14.00				6.00	4.00	1.00	3.00	16.00	3.00	12.00	12.00			5.00	4.00				1.25	1.50	1.00	5.75		4.25				2.00	1.50		12.00	35.00	27.00	23.00	23.00	39.50	6.50	7.50		9.50	13.50		21.00	7.00	10.50	29.50	22.50	23.50	0.50	10.00	15.50				11.00	10.00	2.25	14.00	37.50	12.00		5.50	1.50		3.50		29.00	4.00	6.75	4.50	17.75	25.00	25.75	3.00	12.00	4.00	6.25		0.25	1.00	2.25	3.00	4.50	1.00				5.25	3.00	2.75	0.25	7.00	6.00	6.25	2.00	6.50	5.00					0.50
Isolepis subtilissima											0.50	2.00													0.50		1.00																																																																																																																																																																																																																																	
Deyeuxia crassiuscula																																							2.00																															0.10	0.10	1.00	10.00	3.00	1.00																																																																																																																																																															0.50																		
Luzula atrata																																																																																									1.00																																																																																																																																																																			
Blechnum penna-marina subs. alpina																																																																																																0.01													0.20	0.10																																																											4.50																																																																																			
Colobanthus affinis																																																																																															0.10	2.50																																																																																																																																																												
Psychotria introloba																																																																																																																																																																										7.00	4.75			8.25																																																																								0.25						
Craspedia costiniana																																																																																																																																																																														2.50																																																				0.25																										
Grevillea australis																																																																																																																																																																															2.50																																																																													
Polystichum proliferum																																																																																																																																																																																				0.25														1.00	0.25																																																									
Prasophyllum tadgellianum																																																																																																																																																																																														0.10																																																														
Ranunculus granticola																																																																																																																																																																																														0.25						0.25																																																								
Ranunculus muelleri																																																																																																																																																																																														0.25				0.25		1.50		0.50										0.50																													0.25															
Kelleria dieffenbachii																																																																																																																																																																																																									2.00																																																			
Aciphylla glacialis																																																																																																																																																																																																																						0.50																																						
Oreomyrrhis breviculmis																																																																																																																																																																																																																																					0.10		0.25																					
